MeasuredBy ,Date       ,ChamberSN ,ElectrometerUsed ,ElectrometerRange ,TdegC ,PhPa   ,GA  ,V1   ,NDW      ,TPC    ,Energy ,R1    ,R2              ,R3    ,R4    ,R5 ,Avg   ,range ,Gy     ,Diff      ,Comments
JW         ,10/01/2023 ,     3128 ,           92581 ,Medium            , 23   ,1000.1 ,270 ,-200 ,83585563 ,1.0235 ,   240 ,6.547 ,6.545           ,      ,      ,   ,6.546 , 0.03 ,0.6185 ,-0.4960   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   230 ,6.538 ,6.538           ,      ,      ,   ,6.538 , 0.00 ,0.6177 ,-0.2806   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   220 ,6.536 ,6.529           ,      ,      ,   ,6.533 , 0.11 ,0.6172 ,-0.2076   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   210 ,6.512 ,6.514           ,      ,      ,   ,6.513 , 0.03 ,0.6154 ,-0.3467   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   200 ,6.512 ,6.495           ,      ,      ,   ,6.504 , 0.26 ,0.6145 ,-0.3831   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   190 ,6.503 ,6.508           ,      ,      ,   ,6.506 , 0.08 ,0.6147 ,-0.2874   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   180 ,6.503 ,6.503           ,      ,      ,   ,6.503 , 0.00 ,0.6144 ,-0.3101   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   170 ,6.508 ,6.51            ,      ,      ,   ,6.509 , 0.03 ,0.6150 ,-0.3384   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   160 ,6.522 ,6.513           ,      ,      ,   ,6.518 , 0.14 ,0.6158 ,-0.3988   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   150 ,6.534 ,6.535           ,      ,      ,   ,6.535 , 0.02 ,0.6174 ,-0.4833   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   140 ,6.572 ,6.567           ,      ,      ,   ,6.570 , 0.08 ,0.6207 ,-0.4593   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   130 ,6.625 ,6.623           ,      ,      ,   ,6.624 , 0.03 ,0.6259 ,-0.4637   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   120 ,6.702 ,6.696           ,      ,      ,   ,6.699 , 0.09 ,0.6329 ,-0.4597   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   110 ,6.795 ,6.81            ,      ,      ,   ,6.803 , 0.22 ,0.6427 ,-0.5209   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,   100 ,6.961 ,6.969           ,      ,      ,   ,6.965 , 0.11 ,0.6581 ,-0.3858   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,    90 ,7.213 ,7.213           ,      ,      ,   ,7.213 , 0.00 ,0.6815 ,-0.2677   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,    80 ,7.605 ,7.616           ,      ,      ,   ,7.611 , 0.14 ,0.7191 ,-0.3232   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,270 ,     ,83585563 ,1.0235 ,    70 ,8.378 ,8.389           ,      ,      ,   ,8.384 , 0.13 ,0.7921 ,-0.2334   ,
JW         ,10/01/2023 ,     3128 ,           92581 ,Medium            , 22.7 ,1000.6 , 90 ,-200 ,83585563 ,1.0220 ,   240 ,6.565 ,6.562           ,      ,      ,   ,6.564 , 0.05 ,0.6192 ,-0.3809   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   230 ,6.561 ,6.551           ,      ,      ,   ,6.556 , 0.15 ,0.6185 ,-0.1572   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   220 ,6.546 ,6.552           ,      ,      ,   ,6.549 , 0.09 ,0.6178 ,-0.1069   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   210 ,6.536 ,6.535           ,      ,      ,   ,6.536 , 0.02 ,0.6166 ,-0.1536   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   200 ,6.522 ,6.519           ,      ,      ,   ,6.521 , 0.05 ,0.6151 ,-0.2737   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   190 ,6.524 ,6.527           ,      ,      ,   ,6.526 , 0.05 ,0.6156 ,-0.1321   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   180 ,6.518 ,6.521           ,      ,      ,   ,6.520 , 0.05 ,0.6151 ,-0.2082   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   170 ,6.53  ,6.522           ,      ,      ,   ,6.526 , 0.12 ,0.6157 ,-0.2292   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   160 ,6.534 ,6.537           ,      ,      ,   ,6.536 , 0.05 ,0.6166 ,-0.2748   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   150 ,6.563 ,6.561           ,      ,      ,   ,6.562 , 0.03 ,0.6191 ,-0.2156   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   140 ,6.589 ,6.597           ,      ,      ,   ,6.593 , 0.12 ,0.6220 ,-0.2543   ,beam position error occurred on the second time at the end of this energy layer
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   130 ,6.643 ,6.641           ,      ,      ,   ,6.642 , 0.03 ,0.6266 ,-0.3441   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   120 ,6.720 ,6.717           ,      ,      ,   ,6.719 , 0.04 ,0.6338 ,-0.3209   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   110 ,6.824 ,6.824           ,      ,      ,   ,6.824 , 0.00 ,0.6438 ,-0.3574   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,   100 ,6.989 ,6.986           ,      ,      ,   ,6.988 , 0.04 ,0.6592 ,-0.2151   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,    90 ,7.235 ,7.237           ,      ,      ,   ,7.236 , 0.03 ,0.6826 ,-0.1010   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,    80 ,7.627 ,7.637           ,      ,      ,   ,7.632 , 0.13 ,0.7200 ,-0.1927   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       , 90 ,     ,83585563 ,1.0220 ,    70 ,8.406 ,8.41            ,      ,      ,   ,8.408 , 0.05 ,0.7932 ,-0.0932   ,
JW         ,10/01/2023 ,     3128 ,           92581 ,Medium            , 22.7 ,1000.6 ,180 ,-200 ,83585563 ,1.0220 ,   240 ,6.547 ,6.552           ,      ,      ,   ,6.550 , 0.08 ,0.6179 ,-0.5934   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   230 ,6.533 ,6.54            ,      ,      ,   ,6.537 , 0.11 ,0.6167 ,-0.4542   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   220 ,6.524 ,6.530           ,      ,      ,   ,6.527 , 0.09 ,0.6158 ,-0.4424   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   210 ,6.506 ,6.515           ,      ,      ,   ,6.511 , 0.14 ,0.6142 ,-0.5356   ,spot time out fault occurred on the second time at the end of this energy layer
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   200 ,6.513 ,6.520           ,      ,      ,   ,6.517 , 0.11 ,0.6148 ,-0.3349   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   190 ,6.517 ,6.507           ,      ,      ,   ,6.512 , 0.15 ,0.6143 ,-0.3387   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   180 ,6.502 ,6.507           ,      ,      ,   ,6.505 , 0.08 ,0.6136 ,-0.4378   ,
JW         ,10/01/2023 ,          ,                 ,                  ,      ,       ,180 ,     ,83585563 ,1.0220 ,   170 ,6.516 ,6.518           ,      ,      ,   ,6.517 , 0.03 ,0.6148 ,-0.3668   ,
