MeasuredBy,Date,ChamberSN,ElectrometerUsed,ElectrometerRange,TdegC,PhPa,GA,V1,NDW,TPC,Energy,R1,R2,R3,R4,R5,Avg,range,Gy,Diff,Comments
AGr,19/12/2022,3131,92579,Medium,23.7,1003.8,180,-200,83300000,1.022154573,240,6.573,6.580,,,,6.577,0.11,0.6184,-0.2355,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,230,6.560,6.561,,,,6.561,0.02,0.6169,-0.1972,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,220,6.552,6.553,,,,6.553,0.02,0.6162,-0.1698,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,210,6.543,6.546,,,,6.545,0.05,0.6154,-0.0948,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,200,6.531,6.530,,,,6.531,0.02,0.6141,-0.1698,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,190,6.531,6.521,,,,6.526,0.15,0.6137,-0.1366,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,180,6.530,6.525,,,,6.528,0.08,0.6138,-0.0901,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,170,6.531,6.531,,,,6.531,0.00,0.6141,-0.1057,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,160,6.545,6.544,,,,6.545,0.02,0.6154,-0.0480,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,150,6.566,6.567,,,,6.567,0.02,0.6175,-0.0194,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,140,6.599,6.597,,,,6.598,0.03,0.6204,-0.0428,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,130,6.651,6.649,,,,6.650,0.03,0.6253,0.0130,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,120,6.723,6.726,,,,6.725,0.04,0.6323,0.0485,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,110,6.841,6.833,,,,6.837,0.12,0.6429,0.1421,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,100,6.999,7.010,,,,7.005,0.16,0.6587,0.3172,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,90,7.24,7.24,,,,7.240,0.00,0.6808,0.2114,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,80,7.653,7.664,,,,7.659,0.14,0.7202,0.5305,
AGr,19/12/2022,3131,,,,,180,,8.330E+07,1.022154573,70,8.455,8.467,,,,8.461,0.14,0.7956,0.9610,
AGr,19/12/2022,3131,92579,Medium,23.7,1003.8,90,-200,83300000,1.022154573,240,6.583,6.583,,,,6.583,0.00,0.6190,-0.1369,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,230,6.565,6.567,,,,6.566,0.03,0.6174,-0.1135,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,220,6.556,6.558,,,,6.557,0.03,0.6166,-0.1012,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,210,6.539,6.544,,,,6.542,0.08,0.6151,-0.1406,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,200,6.533,6.536,,,,6.535,0.05,0.6145,-0.1086,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,190,6.526,6.533,,,,6.530,0.11,0.6140,-0.0830,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,180,6.522,6.524,,,,6.523,0.03,0.6134,-0.1590,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,170,6.531,6.536,,,,6.534,0.08,0.6144,-0.0674,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,160,6.537,6.546,,,,6.542,0.14,0.6151,-0.0938,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,150,6.559,6.560,,,,6.560,0.02,0.6168,-0.1260,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,140,6.594,6.597,,,,6.596,0.05,0.6202,-0.0807,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,130,6.636,6.645,,,,6.641,0.14,0.6244,-0.1299,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,120,6.712,6.713,,,,6.713,0.01,0.6312,-0.1300,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,110,6.81,6.820,,,,6.815,0.15,0.6408,-0.1801,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,100,6.977,6.974,,,,6.976,0.04,0.6559,-0.0981,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,90,7.216,7.22,,,,7.218,0.06,0.6787,-0.0931,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,80,7.606,7.615,,,,7.611,0.12,0.7157,-0.0996,
AGr,19/12/2022,3131,,,,,90,,8.330E+07,1.022154573,70,8.364,8.366,,,,8.365,0.02,0.7866,-0.1846,
AGr,19/12/2022,3131,92579,Medium,23.7,1003.8,270,-200,83300000,1.022154573,240,6.583,6.583,,,,6.583,0.00,0.6190,-0.1369,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,230,6.572,6.574,,,,6.573,0.03,0.6181,-0.0071,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,220,6.568,6.559,,,,6.564,0.14,0.6172,-0.0022,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,210,6.553,6.551,,,,6.552,0.03,0.6161,0.0197,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,200,6.545,6.539,,,,6.542,0.09,0.6152,0.0060,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,190,6.539,6.532,,,,6.536,0.11,0.6146,0.0088,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,180,6.531,6.533,,,,6.532,0.03,0.6142,-0.0212,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,170,6.535,6.533,,,,6.534,0.03,0.6144,-0.0598,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,160,6.542,6.542,,,,6.542,0.00,0.6152,-0.0862,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,150,6.566,6.560,,,,6.563,0.09,0.6172,-0.0727,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,140,6.600,6.591,,,,6.596,0.14,0.6202,-0.0807,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,130,6.648,6.641,,,,6.645,0.11,0.6248,-0.0697,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,120,6.718,6.708,,,,6.713,0.15,0.6313,-0.1226,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,110,6.823,6.823,,,,6.823,0.00,0.6416,-0.0629,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,100,6.984,6.976,,,,6.980,0.11,0.6564,-0.0336,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,90,7.22,7.224,,,,7.222,0.06,0.6791,-0.0377,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,80,7.614,7.611,,,,7.613,0.04,0.7158,-0.0733,
AGr,19/12/2022,3131,,,,,270,,8.330E+07,1.022154573,70,8.377,8.373,,,,8.375,0.05,0.7875,-0.0652,
AGr,19/12/2022,3131,92579,Medium,23.7,1003.8,0,-200,83300000,1.022154573,240,6.611,6.599,,,,6.605,0.18,0.6211,0.1969,
AGr,19/12/2022,3131,,,,,0,,8.330E+07,1.022154573,230,6.594,6.581,,,,6.588,0.20,0.6195,0.2135,
AGr,19/12/2022,3131,,,,,0,,8.330E+07,1.022154573,220,6.585,6.579,,,,6.582,0.09,0.6189,0.2797,
AGr,19/12/2022,3131,,,,,0,,8.330E+07,1.022154573,210,6.572,6.562,,,,6.567,0.15,0.6175,0.2487,
AGr,19/12/2022,3131,,,,,0,,8.330E+07,1.022154573,200,6.562,6.552,,,,6.557,0.15,0.6166,0.2353,
