MeasuredBy ,Date       ,ChamberSN ,ElectrometerUsed ,ElectrometerRange ,TdegC ,PhPa    ,GA  ,V1   ,NDW      ,TPC         ,Energy ,R1    ,R2     ,R3    ,R4    ,R5 ,Avg   ,range ,Gy     ,Diff    ,Comments
JW         ,06/01/2023 ,     3131 ,           92579 ,Medium            , 22.6 ,1012.4  ,  0 ,-200 ,83300000 ,1.009716215 ,   240 ,6.689 ,6.701  ,      ,      ,   ,6.695 , 0.18 ,0.6219 ,0.1909  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   230 ,6.678 ,6.68   ,      ,      ,   ,6.679 , 0.03 ,0.6204 ,0.2193  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   220 ,6.667 ,6.682  ,      ,      ,   ,6.675 , 0.22 ,0.6200 ,0.3610  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   210 ,6.656 ,6.664  ,      ,      ,   ,6.660 , 0.12 ,0.6187 ,0.3802  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   200 ,6.650 ,6.653  ,      ,      ,   ,6.652 , 0.05 ,0.6179 ,0.3937  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   190 ,6.642 ,6.647  ,      ,      ,   ,6.645 , 0.08 ,0.6172 ,0.4246  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   180 ,6.635 ,6.638  ,      ,      ,   ,6.637 , 0.05 ,0.6165 ,0.3332  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   170 ,6.636 ,6.641  ,      ,      ,   ,6.639 , 0.08 ,0.6167 ,0.2844  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   160 ,6.650 ,6.657  ,      ,      ,   ,6.654 , 0.11 ,0.6180 ,0.4252  ,
JW         ,06/01/2023 ,     3131 ,                 ,                  ,      ,        ,  0 ,     ,83300000 ,1.009716215 ,   150 ,6.668 ,6.665  ,      ,      ,   ,6.667 , 0.05 ,0.6193 ,0.4107  ,
