"Gantry";"MeasuredBy";"Date";"ChamberSN";"ElectrometerUsed";"ElectrometerRange";"TdegC";"PhPa";"GA";"V1";"NDW";"TPC";"Energy";"R1";"R2";"R3";"R4";"R5";"Avg";"range";"Gy";"Diff";"Comments"
"1";"AG";"02/01/2023";"3132";"92579";"Medium";"23,9";"1018,90";"270";"-200";"83700000";"1,007684802";"240";"6,645";"6,6380";NA;NA;NA;"6,642";"0,11";"0,6186";"-0.3334";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"230";"6,627";"6,6270";NA;NA;NA;"6,627";"0,00";"0,6173";"-0.2845";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"220";"6,616";"6,6190";NA;NA;NA;"6,618";"0,05";"0,6164";"-0.2194";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"210";"6,608";"6,5980";NA;NA;NA;"6,603";"0,15";"0,6151";"-0.2022";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"200";"6,596";"6,5940";NA;NA;NA;"6,595";"0,03";"0,6143";"-0.1823";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"190";"6,584";"6,5890";NA;NA;NA;"6,587";"0,08";"0,6135";"-0.1752";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"180";"6,578";"6,5840";NA;NA;NA;"6,581";"0,09";"0,6130";"-0.2292";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"170";"6,593";"6,5880";NA;NA;NA;"6,591";"0,08";"0,6139";"-0.1639";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"160";"6,600";"6,6000";NA;NA;NA;"6,600";"0,00";"0,6148";"-0.1053";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"150";"6,615";"6,6190";NA;NA;NA;"6,617";"0,06";"0,6164";"-0.0578";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"140";"6,647";"6,6390";NA;NA;NA;"6,643";"0,12";"0,6188";"-0.1274";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"130";"6,700";"6,6970";NA;NA;NA;"6,699";"0,04";"0,6240";"-0.1428";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"120";"6,766";"6,7680";NA;NA;NA;"6,767";"0,03";"0,6303";"-0.1610";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"110";"6,885";"6,8770";NA;NA;NA;"6,881";"0,12";"0,6410";"-0.1533";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"100";"7,030";"7,0290";NA;NA;NA;"7,030";"0,01";"0,6548";"-0.1767";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"90";"7,278";"7,2720";NA;NA;NA;"7,275";"0,08";"0,6777";"-0.1542";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"80";"7,677";"7,6630";NA;NA;NA;"7,670";"0,18";"0,7145";"-0.1079";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"270";NA;"83700000";"1,007684802";"70";"8,446";"8,4390";NA;NA;NA;"8,443";"0,08";"0,7864";"-0.1115";NA
"1";"AG";"02/01/2023";"3132";"92579";"Medium";"23,9";"1018,90";"90";"-200";"83700000";"1,007684802";"240";"6,635";"6,6470";NA;NA;NA;"6,641";"0,18";"0,6186";"-0.3409";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"90";NA;"83700000";"1,007684802";"230";"6,638";"6,6330";NA;NA;NA;"6,636";"0,08";"0,6181";"-0.1566";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"90";NA;"83700000";"1,007684802";"220";"6,622";"6,6210";NA;NA;NA;"6,622";"0,02";"0,6168";"-0.1591";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"90";NA;"83700000";"1,007684802";"210";"6,608";"6,6050";NA;NA;NA;"6,607";"0,05";"0,6154";"-0.1493";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"90";NA;"83700000";"1,007684802";"200";"6,589";"6,5950";NA;NA;NA;"6,592";"0,09";"0,6140";"-0.2277";NA
"1";"AG";"02/01/2023";"3132";NA;NA;NA;NA;"90";NA;"83700000";"1,007684802";"190";"6,591";"6,5840";NA;NA;NA;"6,588";"0,11";"0,6136";"-0.1601";NA
